"Installation","Installation type","Record created on","Object changed on","SPARTE_TEXT","AKLASSE","AKLASSE_TEXT","TARIFTYP","TARIFTYP_TEXT","BRANCHE","BRANCHE_TEXT","ABLEINH","ME_MA_ID","HAUS"
"LegqYWhkSjDYQHIuXXiyaIcBuVYZvwLkLfQOcQQ","GEWE","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","OOA 926","Sport","J09A1701","SyDuYFHTXZUhfVUokbsnfHSWbYGRZKGkOXZhSDG","YXNkMR/yZDvPatcTyTQJQdjCnIgIVrAIfYV/jbW"
"XTHLtgpoNSRpYRqIOsWzqcBiFWJmH/oopZcCB+k","ALLG","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09A5405","YRYVKzwBNhlcVIZXsKSJiVFepEYLBnOWIgsVYCj","kXgWYvVm/c+hcVNMXQ+tCThrrboSflFlOTXAHdZ"
"uZAftNSSkdekcioGQMRAfkjGBMtZhWkXxBWaqsc","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5406","UOyDUgRdMtBfXtQaQIQvUjFEuWMRDaGihZEMtNE","rMNETwTrrKbMAqxWrYIVfwTQQpYgrlV/CZRIRxl"
"BAbPTlTSKTSG+PMVMviNOFXSMYQqCaOJpqSpHER","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6101","SfhSiVrhMQaHvgMUqSgLCYGCSZxBjTPbqkuQkzJ","XwQvAZUJNCPfRiu+fuKFaVLRRCXAUbnNiGqsu+u"
"tWNWTqjGWjZwXsOUYXoGWwFLfzs/KZuh+Y/IMQi","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6102","SifmRUhtXXWLxbsquThpsATfUuo+qzwoEynOug/","gocUZnaKmqUeTQqlhMmIwUKVkzXiEeTseQRoDRy"
"RzWbDUR+rEWzrpCDFRgNUhLbrsmNuYzrQhcWDDr","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6102","oaJgLZWXmgQPUynPmnNzhdJSRnY//WysoJYyWxN","EuQdwVf/Oy+JvaJtVQyXFrjDKNpDQmTwYjCwPUA"
"CWJodXUnUUcUQERvQrpRgJWZhQXahZQVUxnVWiT","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6102","wnlPHZBUiEVImZTIqjXqSgyMavmVUHWEVUJRAif","JQfqyLnfgWLOZngRZTkTIuPmMNtsThuYTMANHBt"
"SMnlAnYWgNcSXbcMTkzuSxARhjsZVIibaAXYjFj","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6102","VDBjYrtUYUbjTQrkzTQAhKHbGWkIVRHfXIGzqWY","Jm/BlnNcUxVSILVcW+mWLsWqQWxQW+GwUqBxUXG"
"TjdXuxzKLvYzStoSWjybURUGnci+VriuWYGNLWE","ALLG","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09A6102","QFqQufvJsy/SsSxCGWaKNyRPYqU+PtRlTnYHDTd","RWCAHBvXwZwSZI/BsWw+yYtUQdyxawZWWpkgIbA"
"YRzVOQgjmDshSMwWxOwNsZ+xDkgvQTzdpXFuwki","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6103","pQwdEzepZDkSyyiUjNjhRRjzWhWuSYhnoQdvEPK","OrlTcWgtWvx+VOKLWhfivRWUJvRvfEAQT+mIRNZ"
"iqqPHlTrmQgSS/ZGeYut+EpZeZjExRGYSUqrWZX","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","CVxXiYXUK+prBgQSRtLjlhBGSZXTRFxdZEoVeCU","jz+uMIljvxmlmseeWpDXsWKGZX+SVDVIjSzVrRC"
"jNSyQavM/RBSuzVskDKcfQwyNUvBaRcNMSTUVXv","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","AceUEEHZRLpbJRXL+FTyRiZLzPABrNDBsWkeuTD","oThCQvLgrbuzSPdzhlABiTaGZkJaYRgaeDaQbbi"
"kXYdWjIJVQxDKHyuMpHMz/QPlp+VZcrlTFplEhq","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1703","QE+/ZaSPMaXXVSqisrMsACskUtTVOQmERkeUeRb","yyMORRMhvEpnXfBFTlaZyBb+hVKGZTwJzP+bQfR"
"VWOMvtWAG+SIIGLaEjTwcvLDKAVDaMrwje+EQsZ","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1703","cbmhKMSZWYcxPovXwFxZrLcTXJfYTZBdD+bpmtJ","UAZCafTsPJaMLDIEQ/eOJHarikaJVnSVWeORbdU"
"ZNOOXCiUITTNdOUydVgT/mEIBRRTsFCF+BwEBdk","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","SqVvVWoBIBUneDMQUhlzZNwzOlISGcXXsrZOgxC","lM+TrMudSkKRhEBX/VnfWUXeiUhKOfuuZgEfoMa"
"'+VJRdrLIdKgTiEnOWpAXKSSEVQCjiNjATIxtf+O","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","eRtLRFsQSMdepZUxuZUVNfYgJDMSQFiPGlYXUUd","t++iIO+YmBIAsUPHllY+GgnpVQrqIRMWhQvqaHQ"
"vfrUTbWZCXzzTneEXVWXsIiqVkydysRKTCEaDXY","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","UZtZfKHVRKXXNGjZcSVuZrxzLfRQpERSQVZFSW/","oacSUalJhNUPwwQfWnXqMCWJ+bZuQfVUotBDxRW"
"tbYXoWStfOZRrBvJmVbZKoioAnASXWOQnC/NYUp","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","BzicoqgcnQcDxIAQEsHwNSIfnjNkZHpuRqWWKXV","oAsJQKjWRXrRygpwLjYmrynSIvDBsWVImBJ+Gmg"
"WnsEcXXhmQwRJQUUzxEyVzihYHBKbOKuvzOdMwV","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","amjYFCUQzXUiCmUWJNkLXYURedg+HSEVABnubSZ","oAsJQKjWRXrRygpwLjYmrynSIvDBsWVImBJ+Gmg"
"DDBWVVSaVEuRHwXYoNSjxTwUONiqZjRgRnEaZmf","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","TYjuVRBNT/ccpEXSRjZOj/YatVcYYXHpaSdTWiQ","iSmPn+vAafCgUAceWzgawfKp/pBXNQmedtMQVZz"
"CutTQlVYyGpRYDRoyTYyDFXuSSGnkmfEucfZVVy","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","WUTJsjvlTVWEWnPlTUTOWQEfIXCkfPSBVisjOOA","Q+ilXS+hviIKYxLYkzeyOXRduWXqgkBT+OsMOas"
"TmpoR+YSWIZOkfeVOH/RMqaVEBYRqgIAniKEznP","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","JLWEX/VqQQfa/nCAinlTjJkgSSXxWAWNrsQdIQu","VIRSycRVvStHXCwXWTkUDuRIWKJAd/sEwuPlOIQ"
"SnnFKJahZTUZvoqPuJwvfUhjVkKmpJpBQsH//DK","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","WZHGVyUbZAWxxqVGJaOgWT/XaaOGMKveGphv+QQ","jckUlZ+PZXzVVVxd+dvl/YBVX+hxTHOxTSZUrfA"
"CivayUAApoXoVQluaDqNQNOqR/DCW/RPT/kyW/Q","1006","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 959","Werksangehörige","J09A1704","UZXSZEsURoDZhUiqffXtgrnSXIT+CXBZJoZlWSW","WpdnTvZRNVpBHgN+WkVIIbmCQPeecpuNiwjaSEV"
"pPFABtauPIjS+IWKdssETBUzdhBjjFGulBleEvo","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","QKnJVaNlVcEXVbX/wdXNacZPlKWQQLtCYXVVRFA","eNXgSxBgzKXUPxYzztKGgYbVZPMSSQllvgLRQgm"
"uGCVvxaz+adXtjInaNxyVCmENqjSXFRuUcHyylV","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","JqNBWYsScUrrVQUoQfWtdKcqlUDftFSBSYUroNE","t++iIO+YmBIAsUPHllY+GgnpVQrqIRMWhQvqaHQ"
"NQdEOriuyCkGYRxgBWfzh/TGW+qMaJPQVwEgiJQ","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","BzRhd/AXFxXOmpuWXdMjMMUScohUIGLJEQKkXlH","wSQNaLHbHdOEFEfVlyWRpUGUSRVSMGsseMxaHZg"
"'+LTBYoWWZTWZCOYUXWqYGeWXYQAXu+SNmRIXDKx","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","JvaDpeDYHIotcFDtblKPKT+qEiPgXJXd/SNNXgW","FiUQuduHmBCTlUDiHQZHU+B/xkVTzqkIkcRI/jL"
"wAJDC+//XQpLVfCLHfd/TrxiKewxRStPjgHRNZZ","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","GWYvbRHADvCxEsbNYN+mCVPVRmNTmPXsbZ/IZPu","ODRRcZnoUHTZaPQYUtcjncQYlfTTolHIXeRbPEb"
"faAzjLxOnVTtrgPvvYTczBqDYQokTQcuTpRrszx","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","PszNSaPmfCFEwDWifo/tWYcpzZTrZpUA/KAbnKE","pI+YNsgOiVnSQUTkJXQjScdkqQUUmgSQVqEYEJY"
"/vSqgzySaXQjMNAqYbuCiQAcBRwcQKZVwhQIdoL","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","vgWLYKmYvqWRCZaN+WSojrptzcVWQmPgzSX/Qdl","UaJhhcXXVuEPbgQKgVY/uXdkehuKAVVTaArPYVZ"
"PHoYkPEVhWYljkuVtZzEIaVXLItjTfNkmLffhRF","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","OPmwyVlkAVgsYGRXparvTasYeY+TZYTRHXRObxd","CupoVSaZvsVQZqNQvEnecVBjKcyoSLtHEXdVWYH"
"hSAeuFNziYUeYcZdwaUYkQThUxqlcyicOZyyIdi","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","aS+XUPbRjWOETzd+F/JNpfTRcqKBSzWLnqSprQZ","MhVYFGCQUd/BmKJgkZVJCWvnyRhLVUZAtdJYWVS"
"SaaADsYRDTBtfcmVqVffSgpXDdcVCEVBiMxb/SM","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","ZRFywHfpOZoqBRTmg/VGXftSkekCBrZrzbWTVuk","FBimPCURWnYhl+lHiMQeUGZTRiyZbywYHRrNrJS"
"nKSRfDQPCTPcNrojgwMygRXZDsxQZA/JW+SxNdI","ALLG","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","sZUAkVeWnRNOwQwlUSj/jDZUom/rxTEAMgpOFSO","cQIUfKTxMXEwszjIWbVnrMRslRxKeTTgZXLAliZ"
"hXLSsBqiUDBa+YPMiZeWJXSqLNAetTQNsuNRMEv","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","QFYWcVTXiCM/TSQZkAiPRVWMLnTAhJsfnS+iXxj","WfCLpLCDNNWpDq/WSWYDpqaNCeQaIPHUSIWYdUf"
"LDGZBpE/aokPS+pzcRdQSPG/qXlfXmBQSBQQRQP","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","RTNgUHuIFJLyBffMQwWAR+aFApIWlzYkzh+nR/Z","X/MSvNIQdfnSxO+nQKZQpOUObqIKT+xYKVUtCcR"
"RLxLFlRSViJoRPnWJcMXRtWbCwN/ENnXSvNTk+n","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","qEvJWJaQXNMyZTWfVdVYTLRTQwMA/GYnBAKOtZW","Q+RZtRZdvzt/ZtXhPIkVBXFvNdFmvUpnpUd+XxQ"
"Mffw+RNdVCNqwLYCzYRZEEvUcnnYJkTfDzYMtRw","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","DWvlZDhVSUSOkZujYHTEWqsHxFrYYjzf+YIiTCb","SctkUcXcP+VSqWBqNuMfmcXAvTSMPQy+FYXImHU"
"cTrJZKriioMYoGUbrjXwngWavQRjbcQjLkDkCwU","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","ooZGGxPtNdmwScoEhRhGW/xx/RbYFWTSOZtIVjk","KwWoRuoLUUSw/w+bTiSqsgYaVQFGNiIj/PIWcoP"
"MbYYMmMlyQpojZyth+WuJXRnTicRHBTtT/SxYIC","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","PhXXTgSUeOnZVDtQuWeCGZHdbAYPLkkcFjIKKpn","LCwzNdkUMselxhYgGRIXpijZCMcYQsTvumwMmQU"
"jCBWivXSBFOpozqmUdimWj/JOxOwLLTSJOHXSvD","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","TfpQHZTSkUAJFcxUSPJ+SkhWPWXLFEjUU/vMgMR","FiUQuduHmBCTlUDiHQZHU+B/xkVTzqkIkcRI/jL"
"qqJfTCuQBWtooZdhqbxVODvOXRxQlTTAweFzZNu","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","DlHGZamwKdTSPnuUNQTbjtHVIOHtTHXtQcgWZTD","BywlLiRUiaUDVWVybXRSUBAFGGpWsLdRZbQbgYI"
"Ve+/rMBeeBRUwgLku+O/gnTYWIozZWoxZxfzCYW","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","kZYUCRVilHMVZFRYcWR/csnwUMkBRpQwhmUHQNX","DAXXCGRFgyFwRsynFzViTustYqTgERKuQvTwQNk"
"LUXwAIKRsbFAlFhVYTSVJZlVE+rX++deZRXWMWg","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5402","'+dULeBcTVOAykYSVLmBSZJQwXPTmAxqPZfFYvjm","neeFphXvLgxFSCkcZZqkziMKXxkXLWCRAURYWNG"
"JPPCrF+UGVWuoHiJEjLsQ/PStduwol/FqWHIgDa","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5402","YPZiDvPY+YQXcRxuYRaQapvwqQwjxlcS+YRtWRl","ZqSb+a/peWwbJgUSYYeDBhMLCPnTXStUmAZlJus"
"YIifoGYzUtTJzTkNXlHQSEgDuWkCEULxWYYwgVx","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","soYsBTUBpBYRhhNwEzF/UXHFYmBOKuuCvYYrJEw","PEnPmZtXYkEJHbgGguFbZybOv/QIScoSCNBQuGA"
"NYaYFBEsDfSeENieccxQXJzKpcquxWTffRpKUkY","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5403","YeOvVvkeuTwHcbUNBBAUXrhnAVWwjEByZstQz+/","G/hehzjlg+lbRPZEelCMitOblnQByAQGei/wXVX"
"XIpBARUziliGNtMGZgRSdtIPSIYx/L/sQWawZTJ","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5404","VlntzdXAqdFbTbiUsaYXMWRYiqyGyFewtxOHDdX","JRXfqZaEwKKNfbMieoObWx/hYspXXDYSIFV/RtM"
"nzWfuADWP+uomMZdRhTYTkPwHKcwdrfFCWjavBq","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5405","OQ/gISWBUOB+bSJfWs/XNZgTyTPVdospYIKkAoo","jYcbgfrka+efWeSwxg+kFnTVKbVkTMXYGB/WVQr"
"hzIQSi+S/XZOhHJGVWZxRTXllQHyTRoLvjcHlW+","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5405","GWrhaTlpzVMTpWiYaRDDYdZyvAGXPiqxcDSBAkR","sqYaaGLDyAVoLZSAdLEQWUGzRaVdyqGZkSOQZYV"
"hkPZXpZZFhaZsaneItVQTeznvgUVXRgWljozkcA","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6102","cCI+ChwkZsOjDnUwWGBcWcdjRLnbtySFEfJEWqt","wmezXlQCYHWNHWYtvZQhfdcGwhizWkbvenniMaP"
"acMKbmIYgdiqzuUdohXTuX+RNKFTTwSWUdHUWuz","ALLG","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09A6102","EdyndWopKFkZodvsa/BeLLpWGawWTfAjeGuXAug","gSWzOVJlhULoUjuHaNxVXWxXBMQQaWyzbEFquxj"
"gzIZCYJkrfSBSMHSYeEGn//tnmEWAtTkS+ABKUt","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","pROSLUgAGyHtRrSwSNpAdyIuNxWwVLHJOPxplVK","hLeSRIotzyvLsQfHLfYUfxFywTSQiMrFFWlFFxk"
"fzrVCyZXEpW/wjuuUQZFHH/IGxTWAuaXUZ/DSRp","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","WuotwIoUOeR+KWcAIrdlZMuWAVZRUyZcXNuDqbR","FiUQuduHmBCTlUDiHQZHU+B/xkVTzqkIkcRI/jL"
"MehWZJvSTYaYYQTMWRTZvtSikCrrBRueZzbIJEO","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6102","MDOkM+SjUCjXBHiBCWQySCCyjmgbFqOYdPVZDk/","VSJCWA/X/UUUPaUpQXvQfYUYoeYYgk/LECrvDVV"
"TqGZoVkyFzJRZoPPQTiSYVlFXtVVSxtRbRHVEwq","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6102","Vo/QNxUZVBMmAXqYPYUhUyxUfSkfKMMXYiRVpFs","X+jGcYGSrfsAofxUfcMPXKILnECVAjYONVzWNub"
"SHuOKHmWdYjOxM+iqfZhVhzSsBGamebmarXWSWU","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6102","VXjpJJaxCVaLQvZfTZHMW/IlRWyXgLvugTxdGPe","WTywLQuGRWlqpSvvonsbRfUXfyqUgFZMRjuTXUM"
"XvJwVHnvhZSzy/BDhxtmcQPkpENeSIsEaQJTudX","ALLG","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09A6102","QPSUzLNLWjjyRPzzWLOeWVlBO+WAMQNtOqdwQVq","TtqR+HZ+ipSixonQNZLLDdsDlVPTQHUsryNzLfG"
"cPnyjMTVNsXBXqhLvhaZXZZHPUROJG/CMuZNPbQ","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","VPoXhsXYJ+tquBwpc+ZNbMKhMTLMHQXSjL+dnVg","VMRZnw+WYRZILqZpZWPqTpbAQkmhQSRyWIOjnxa"
"RmANxnnZkVmBkAxNfJNGyTuhChtxzKNQwVMy+EM","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6103","jILYFVtTmnBXltWiRbQQGhxvYQIYcFkaqSpfiSC","q+rKLTGfuUsdyMAesfwWMgRu/ZKsWaQVsGhLNDE"
"TVtJPfdLJXYpZbgWWAKXNLaRUKZ/AQ+eZTtPLXR","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","z+h/MRZUXvHYv+ndNQUYfZsQyjoSPacxgfZjPTR","yEZtPRT+YEOiweAK/bvPgPYSXNSG/HTWEtgkYYM"
"GNTrfgokHWGhNcXssXZTwKFjHtIeBZOqPjUfkYI","1165","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1611","psZBQXSSVuXrSGYOUQyxWKwVVVAKQFXYVyyoQWP","pdefWnGLYNZlDLJZAcYgCH+IVjXYnXiUMRv+gCT"
